96651651,96426335,96219439,85251108,8919071,90683263,90682104,94580534,55744875,67289203,90122064,90208895,92442836,13757489,0,82321313,83633502,87346006,57102131,55409541,1
97710754,97474193,97996610,9244076,9756154,96281517,96281145,97129578,80713583,85228451,98365273,98380069,94957255,23993591,8748671,87846593,0,91813586,69369616,66467881,0
99927705,99666099,98437691,92274411,10345655,97861080,97860672,98921537,78580504,90204751,92359513,92426103,94952867,12950684,74519339,88200350,89075934,89887009,65575870,6175548,1
95503378,95290754,92311346,82758207,89853954,92454328,92453378,93406551,58991029,69524670,89460910,89553578,8186285,12690413,67153933,726280,89074827,87882762,70974821,67668835,1
92584167,92403924,93531895,76035399,82576560,88948405,8050289,8542851,57212646,62215343,7872270,87042633,92130269,10533089,62124766,83682026,7682502,88109044,58866339,57932432,1
97619022,97382984,98225357,86892154,9305848,94787073,94786467,98661906,769401,80049977,90887535,90967228,94461965,12511893,71161831,83174000,84422729,88637394,56414164,56936015,1
96294160,96072618,95463557,7452279,97158847,91419320,91418326,95106447,59751344,69771675,87624837,87733345,92132962,947027,63983869,84818064,85944456,8072241,56386264,60135191,1
97795263,97557314,99073412,88738592,9842763,96281801,96281053,100000000,67021880,87630892,94619688,9458332,96958291,15669696,7636816,85192614,86291234,90835688,5212068,60848120,1
95649520,95435317,94900597,82688628,91903442,8370242,92109925,95206527,56746905,69903348,89763085,89853246,91202455,13746004,68692526,85917568,86962533,8111515,62483658,62969908,1
95566761,95353828,95616437,91171580,95276632,94172417,94171727,95673098,70446227,78125075,93243590,93303329,8308727,18421715,78676082,84645519,85784789,8134874,58202208,60249131,1
95376556,95165405,93573609,83394809,91174036,93006696,93005825,95145298,60957476,-755549,90049219,9005359,89813085,13566355,68606856,594288,7978458,87959620,62624826,64623473,1
97594886,97359360,97042658,93571148,9648358,96583207,96583111,96430705,96226194,88985225,95842072,95878827,92590044,20000602,86030716,87352503,88291202,89790023,69895630,65365667,0
8936851,96885136,94573597,87613623,9252858,8799660,96404734,96081926,74036158,86223103,93083884,93144662,8461549,15446799,77527582,87376905,88313483,89620784,63176449,73049,1
98494715,98249091,98533034,91910722,9997016,94803162,94802525,98323904,72813981,80989073,87818315,870091,93263019,10857409,64731027,85314403,86404220,90298421,61651696,61266266,1
96016955,95798810,94257513,87314023,93842712,93704499,93703639,95520572,62088755,74798986,89869881,89958998,26010,13373320,68641951,84534744,85682575,8142365,60411060,59207739,1
96852769,96625306,96949101,86609092,9270100,96204293,96203920,97557902,78972196,84899538,93073485,9305101,93601907,14895540,76536691,86520383,87520958,88810170,6139292,63372793,1
97579465,97343808,8984412,86123756,9637029,94928686,94927990,97918097,68611530,81170207,88720169,88819089,92496800,11446563,66215579,84405988,85563087,88930025,56884438,59882982,1
94568939,94366771,93751988,81932627,88902293,95501943,95501421,95533107,73142518,81631568,94277544,94327921,92725717,17064372,80841944,88210121,89085040,89937299,67019901,67404103,1
98669761,9842222,97223705,91572500,171298,97472116,97471998,8810959,2624586,87749836,92453519,0,92152298,15223771,74678292,84520776,85669750,87433344,62469221,60098032,1
94223694,9402540,93634889,82267192,91318312,93890459,93890105,94385454,1919838,-283484,92478242,92544743,90417515,16706073,76968069,87604781,88524581,90520150,5878153,66583511,0
95905871,95688761,93726672,84038399,97751746,8791542,96323641,94207307,76743792,83526806,92856909,92919690,90320974,15313167,76464668,86632141,87623934,88762180,58601122,64286322,1
93538515,93347682,92694369,79296752,86489693,91898824,91897876,92939030,61901838,-991631,93264669,93323566,93489228,1366811,78704439,94120665,8648840,96443960,72164445,84468107,0
9251823,100000000,9027612,95357004,11008473,98847093,98846789,98841358,84048924,-7919423,94630936,94677300,95271140,14036138,81959837,88748479,89583285,90746511,65167822,68186111,1
94495104,9429376,8460408,82970226,90864359,95687045,8724202,95371816,71831603,82628481,93026939,9300460,92751818,14888941,76984725,87857059,88758056,90330433,65078979,66344486,1
99463337,99206951,100000000,92543489,10281663,8830305,96711228,99612269,77053741,87502875,90497514,90580482,94878232,11555128,70299885,578016,87701711,8440762,56944927,63484924,1
96754225,96527679,95295159,83948365,100000000,8747736,95885407,96346180,74908693,83716026,93166924,93226662,8387012,14724948,77245116,87932449,88827754,89355110,61329232,66612795,1
99019423,98767990,97266495,93053412,175887,97909011,97908494,98770495,72326194,89526495,29256,9315839,94272450,13847682,77116633,87743836,88653017,90331902,60328932,66266740,1
99696441,99437426,8930151,93561457,10424691,95359311,95358561,96604991,66611078,82396884,8337213,91650587,93738145,12289990,73807526,87767639,88674921,90411693,5444660,66079227,1
93115770,9292954,92706086,75946836,85102940,91468871,91468148,92916592,67920263,69196017,88197915,88301735,8003172,11992730,64775766,85151036,86252614,89366354,53474727,61113776,1
95427873,95216047,8647260,82051291,93389441,96148352,96147792,8772778,75694856,84850657,94233228,94283274,8685241,14646782,82011122,98100161,98240690,99209158,7891895,97452230,0
91980747,91806934,93202687,71920027,82999467,94701318,94700729,95989899,74180372,79923441,94416770,94465326,94927971,14864711,81743213,95576794,95904422,96963930,75552516,89484287,0
95247511,95037914,92623214,88509356,57578,95477851,95477312,95129461,79065628,83665661,96126474,96159769,8865672,16009316,90154739,96136471,96423058,8840824,86773085,92076484,0
95047479,94839942,8759144,82422335,95180250,95675577,95675008,98124898,75807523,84672268,91356422,91431960,51431,12946778,72482274,86026760,87063432,92080612,57490548,62663081,1
8956314,97077841,97819701,91861549,9475948,98108046,98107649,99272749,77555149,92211269,94979929,95023532,96403743,1450667,83840130,86532270,87531558,91500962,60453216,63842898,1
92434517,92255947,91787461,77237896,82933393,92732413,92731974,93047583,81025753,73452944,93029335,93090317,93563523,14841163,77991845,94126484,94561954,95554345,74142901,84492961,0
97456202,97222003,8841608,88871105,148315,97197198,97196746,97497114,78581647,89619361,93560834,93616761,95043702,14019710,7295603,87880279,88779483,8317976,62326795,66097136,1
99371820,99116584,96607346,97994378,10000848,100000000,100000000,99183169,100000000,100000000,98031058,98047425,99600513,16332489,94107381,100000000,100000000,100000000,100000000,10128244,0
95125547,94917431,93909113,90344739,92401870,97946374,97946199,96747114,2257623,90907028,98957967,98966620,97791326,19372002,97882988,94501582,94909733,96698414,87331512,88404066,0
